regine;a_lake_km2
002.DHB2A1;0.0039
002.DHB2A2;0.0096
002.DHB4Z;0.2228
021.HB2;4.5839
021.HB9;3.2298
021.HB1;8.2740
021.HBA;0.0006
021.HA;0.2944
026.GB;5.5329
026.K4;1.0977
026.K5;0.3632
026.K6;0.2174
026.HB;9.6754
026.K3;0.4618
026.K2;0.0276
026.HC;0.2316
026.K1;0.0240
026.H41;1.3141
026.J2;0.0683
026.GA;0.3594
303.2C;15.5401
123.2B;1.6788
123.2C;13.5540
151.FB;14.8603
151.FC0;0.1016
167.2B;16.3392
167.2A;6.1273
314.B;17.3817
314.C;1.4775
167.BE;8.2917
167.BD;6.6470
015.NDB23;4.8737
015.NDB22;0.2168
015.NDB1;8.4790
015.NDB21;0.3303
015.NDA;0.0000
015.NDBZ;1.6600
015.NDB2A;0.1454
200.6B;17.1512
200.6A;0.0377
200.6C;2.0329
012.JC11;1.3321
012.JC2;6.4601
012.JC12;3.1100
012.JC9;2.7663
012.JC1Z;1.4513
012.JCA;0.7438
012.QB;5.8882
012.QC;9.9397
002.DCD11;0.1493
002.DCD2;7.0506
002.DCD12;6.3815
016.EA21;0.5561
016.E12;3.6334
016.E9;0.8554
016.E11;2.6738
016.E20;6.6830
016.E1A0;0.0002
016.E2Z;0.6272
016.D2;0.0176
016.D1;0.9709
016.EA11;0.6137
002.FG;13.5463
129.BB;14.0968
012.L21;5.5137
012.L22;0.9730
012.L9;5.2108
012.L10;1.5682
012.K;0.9644
012.LA1;0.0039
012.L1A;0.1706
012.L2A;0.0502
012.LA2;0.0061
012.M1;0.0768
196.F3;5.3938
196.F4;7.8744
196.F1;0.0045
196.F2;0.0030
152.B2;1.4268
152.C2;1.4060
152.B3;3.5945
152.B1;1.2959
152.B9;3.3767
152.B4;1.1222
152.C1;1.1910
152.C3;0.0033
152.A;0.0012
152.C4;0.0006
015.L1B;13.3597
015.L1A;0.7815
012.JCB12;2.8448
012.JCB2;5.3459
012.JCB9;4.7307
012.JCB11;0.4600
016.F3B;14.6264
016.F3A;0.0040
016.F3C;1.1619
033.BC;15.3397
033.BB20;0.0174
033.BB10;0.0653
002.DHB2C;13.1077
002.DHB2D;1.8621
