regine;ret_tot-p;ret_tot-n
167.E3;0.65;0.13
167.F;0.24;0.05
168.1Z;0.34;0.07
168.2A;0.47;0.09
168.4A;0.44;0.09
168.4C;0.19;0.04
168.5Z;0.58;0.14
168.6A;0.42;0.08
168.6B;0.3;0.06
168.7A;0.11;0.02
168.7B;0.51;0.1
168.8A;0.4;0.08
168.8C;0.43;0.09
168.9Z;0.6;0.14
169.21Z;0.24;0.05
169.2Z;0.46;0.1
169.31Z;0.14;0.03
169.32Z;0.34;0.07
169.413Z;0.44;0.09
169.414Z;0.52;0.1
169.41Z;0.24;0.05
169.4A;0.64;0.13
169.51Z;0.55;0.11
169.5Z;0.27;0.06
170.1A;0.57;0.11
170.2A;0.56;0.11
170.2B;0.3;0.06
170.3A;0.13;0.03
170.3B;0.49;0.1
170.51A;0.26;0.05
170.51B;0.53;0.12
170.5A;0.29;0.06
170.5BA1;0.54;0.11
170.5BAZ;0.42;0.09
170.5BB;0.47;0.09
170.5C;0.35;0.07
170.5DA0;0.27;0.05
170.5DAA;0.53;0.11
170.5DC;0.73;0.17
170.5F;0.64;0.13
170.6B;0.63;0.13
170.71Z;0.56;0.11
170.7Z;0.36;0.08
170.81Z;0.72;0.19
170.82Z;0.59;0.12
170.8312Z;0.58;0.12
170.831Z;0.66;0.15
170.83Z;0.81;0.21
170.A;0.48;0.1
170.B1A;0.6;0.14
170.BA;0.08;0.02
170.BB;0.63;0.13
170.BC;0.45;0.09
170.C3;0.3;0.06
170.D;0.47;0.11
170.E;0.52;0.1
170.F;0.23;0.05
171.1A;0.78;0.19
171.2AZ;0.66;0.17
171.2C;0.41;0.08
171.2D3;0.46;0.09
171.2E1;0.53;0.11
171.3Z;0.77;0.22
171.42Z;0.81;0.23
171.4Z;0.84;0.29
171.6Z;0.39;0.08
171.72AC;0.19;0.04
171.7A1;0.25;0.06
171.7AA;0.51;0.1
171.7AC;0.22;0.04
171.7B;0.08;0.02
171.7C;0.24;0.05
171.7D1;0.26;0.05
171.7D3;0.34;0.07
171.7E;0.52;0.12
171.81B;0.47;0.11
171.82B;0.3;0.06
171.82D;0.46;0.09
171.8BA;0.49;0.1
171.8D;0.26;0.06
171.8E;0.76;0.21
171.AAA;0.7;0.18
171.AB;0.73;0.22
171.B1;0.11;0.02
171.B2A;0.55;0.12
171.BA;0.57;0.11
171.C;0.1;0.02
171.D;0.52;0.1
171.E;0.34;0.07
172.1Z;0.38;0.08
172.3A;0.66;0.16
172.A1;0.21;0.04
172.AA;0.24;0.05
172.AB;0.35;0.07
172.AD;0.67;0.13
172.B;0.62;0.15
172.CB;0.65;0.13
172.E;0.45;0.09
172.G;0.53;0.12
173.1Z;0.45;0.1
173.2Z;0.53;0.12
173.31B;0.41;0.09
173.3A;0.68;0.15
173.3C;0.19;0.04
173.5Z;0.62;0.15
173.6B0;0.09;0.02
173.6BB;0.56;0.11
173.6C;0.67;0.13
173.71A;0.46;0.09
173.A0;0.13;0.03
173.AAA;0.64;0.13
173.AB5;0.11;0.02
173.AB6A1;0.11;0.02
173.AB6A2B;0.36;0.07
173.ABA0;0.1;0.02
173.ABAA;0.4;0.09
173.ABAB;0.52;0.1
173.ABB;0.39;0.08
173.AC;0.32;0.07
173.AF;0.36;0.07
173.AH3;0.48;0.1
173.B1A1;0.22;0.04
173.B1A3;0.58;0.12
173.B3B;0.44;0.09
173.B3C;0.3;0.06
173.BB;0.59;0.14
173.C1;0.29;0.06
173.C5;0.06;0.01
173.D1;0.74;0.15
173.E2B;0.57;0.11
173.E2D;0.4;0.08
173.E2E;0.65;0.17
174.1A;0.25;0.06
174.1C;0.46;0.09
174.1D;0.27;0.06
174.2AAZ;0.18;0.04
174.2AB3;0.39;0.08
174.2AC;0.21;0.04
174.2B0;0.3;0.07
174.2CA;0.51;0.1
174.31AA;0.39;0.08
174.31B;0.35;0.07
174.32AB;0.36;0.07
174.32B0;0.2;0.04
174.32BB;0.47;0.09
174.32C;0.36;0.07
174.33A;0.5;0.1
174.33B;0.11;0.02
174.3AB;0.56;0.11
174.3B2Z;0.42;0.08
174.3BB;0.47;0.09
174.3C1C;0.47;0.09
174.3CB;0.57;0.14
174.3D5;0.46;0.09
174.41Z;0.56;0.14
174.4B1;0.18;0.04
174.4BC;0.55;0.11
174.4BD;0.74;0.18
174.4C;0.28;0.06
174.4D;0.43;0.09
174.4E2A;0.48;0.1
174.4FA0;0.1;0.02
174.4FAB;0.53;0.11
174.4FB;0.64;0.16
174.4G;0.17;0.03
174.5A;0.33;0.07
174.5CB;0.69;0.16
174.5DB;0.5;0.11
175.1B;0.32;0.06
175.1C;0.47;0.12
175.1D;0.33;0.07
175.2B;0.39;0.08
175.2D;0.69;0.16
175.3Z;0.47;0.12
175.4B;0.39;0.08
175.4C;0.54;0.13
175.4D;0.3;0.06
176.12B;0.32;0.06
176.12C;0.44;0.09
176.13A;0.56;0.11
176.2A;0.23;0.05
176.2D;0.52;0.1
176.2E;0.48;0.1
176.3Z;0.53;0.13
177.12Z;0.34;0.07
177.1Z;0.43;0.1
177.2B;0.74;0.22
177.34Z;0.5;0.1
177.3Z;0.49;0.11
177.42Z;0.48;0.1
177.4Z;0.69;0.18
177.5A11;0.08;0.02
177.5A3;0.21;0.04
177.5A5;0.1;0.02
177.5B;0.63;0.13
177.5C;0.12;0.02
177.632Z;0.21;0.04
177.6Z;0.33;0.08
177.73Z;0.56;0.14
177.7Z;0.08;0.02
177.81Z;0.39;0.1
177.82Z;0.51;0.12
177.8A;0.36;0.07
177.8C;0.47;0.11
178.112Z;0.39;0.09
178.11Z;0.38;0.09
178.121Z;0.16;0.03
178.12Z;0.61;0.16
178.2Z;0.5;0.11
178.31Z;0.27;0.05
178.3Z;0.46;0.1
178.42A;0.19;0.04
178.42B;0.38;0.08
178.42C;0.49;0.11
178.43A;0.32;0.06
178.43C;0.39;0.08
178.43E;0.45;0.09
178.43F;0.41;0.09
178.442A;0.29;0.06
178.442B;0.39;0.08
178.44A;0.41;0.09
178.44C1;0.24;0.05
178.44C3;0.29;0.06
178.44D;0.4;0.08
178.46B;0.53;0.12
178.51Z;0.2;0.04
178.52Z;0.22;0.04
178.55Z;0.2;0.04
178.61Z;0.62;0.14
178.621Z;0.21;0.04
178.62Z;0.61;0.15
178.6Z;0.32;0.06
178.73Z;0.69;0.16
178.74B;0.62;0.12
178.7A;0.53;0.12
178.7B1Z;0.49;0.12
178.9Z;0.55;0.13
179.1Z;0.16;0.03
179.211B;0.53;0.11
179.2121B;0.47;0.09
179.212B;0.53;0.11
179.32Z;0.58;0.14
179.332Z;0.49;0.11
179.33A3;0.23;0.05
179.33C;0.56;0.11
179.34Z;0.7;0.17
179.41A;0.43;0.09
179.41B2B;0.78;0.2
179.41B3A;0.48;0.1
179.41B4B;0.56;0.11
179.41C3;0.41;0.08
179.41C5;0.63;0.13
179.43Z;0.59;0.12
179.44Z;0.52;0.1
179.4A;0.47;0.11
179.4B;0.61;0.12
179.4C;0.77;0.21
179.62Z;0.65;0.15
179.711Z;0.42;0.08
179.712Z;0.59;0.14
179.71Z;0.49;0.11
179.73Z;0.43;0.09
179.7Z;0.73;0.2
179.84Z;0.35;0.07
179.8Z;0.48;0.1
179.9Z;0.46;0.11
180.11Z;0.68;0.16
180.1Z;0.69;0.16
180.32Z;0.56;0.13
180.34Z;0.78;0.24
180.4Z;0.55;0.14
180.52Z;0.42;0.08
180.54Z;0.63;0.15
180.621Z;0.74;0.18
180.62A;0.74;0.17
180.62B;0.29;0.06
180.63Z;0.46;0.09
180.6Z;0.34;0.07
181.2Z;0.55;0.13
181.311Z;0.43;0.09
181.31B;0.54;0.11
181.3B;0.7;0.14
181.411Z;0.43;0.09
181.41Z;0.53;0.11
181.432Z;0.56;0.11
181.43Z;0.82;0.24
181.4B;0.52;0.1
181.4D;0.65;0.13
184.12Z;0.37;0.07
184.3Z;0.23;0.05
185.111Z;0.64;0.16
185.114Z;0.47;0.09
185.11Z;0.2;0.04
185.12Z;0.45;0.1
185.1A;0.51;0.1
185.1B;0.22;0.05
185.22Z;0.52;0.12
185.23Z;0.33;0.07
185.2Z;0.19;0.04
185.32Z;0.27;0.05
185.33Z;0.26;0.06
185.34Z;0.54;0.13
185.3Z;0.41;0.09
185.42Z;0.6;0.14
185.43Z;0.58;0.14
185.44Z;0.27;0.05
185.51Z;0.34;0.07
185.52Z;0.27;0.05
185.53Z;0.34;0.08
185.54Z;0.22;0.04
185.5Z;0.59;0.14
185.611Z;0.67;0.15
185.612Z;0.57;0.14
185.61Z;0.43;0.09
185.64Z;0.3;0.06
185.6Z;0.85;0.27
185.71Z;0.78;0.23
185.72Z;0.47;0.09
185.75Z;0.49;0.1
185.7Z;0.66;0.17
185.81Z;0.65;0.17
185.91Z;0.68;0.18
185.94Z;0.36;0.07
186.111Z;0.48;0.1
186.112Z;0.53;0.11
186.11Z;0.4;0.08
186.12Z;0.67;0.16
186.1Z;0.29;0.06
186.21Z;0.63;0.15
186.22Z;0.54;0.13
186.2B;0.51;0.1
186.2C;0.42;0.1
186.32Z;0.16;0.03
186.332Z;0.37;0.07
186.33Z;0.14;0.03
186.42Z;0.69;0.17
186.51B;0.58;0.12
186.51C;0.77;0.21
186.52A;0.51;0.1
186.52C;0.33;0.07
186.53B;0.61;0.12
186.53C;0.26;0.05
186.61Z;0.4;0.09
186.62A;0.19;0.04
186.62B;0.6;0.12
186.63Z;0.74;0.2
187.4Z;0.27;0.06
188.22B;0.54;0.11
188.23A3;0.34;0.07
188.23B;0.64;0.13
189.2A;0.59;0.15
189.2C;0.59;0.14
189.2D;0.62;0.15
189.3Z;0.46;0.11
189.A;0.4;0.08
189.D;0.58;0.12
189.F;0.42;0.08
190.1Z;0.31;0.06
190.2A;0.1;0.02
190.2B;0.52;0.1
190.3A;0.1;0.02
190.3B;0.6;0.14
190.3C;0.47;0.09
190.5Z;0.44;0.09
190.61Z;0.56;0.13
190.8Z;0.3;0.06
191.1Z;0.33;0.07
191.21Z;0.59;0.14
191.2A;0.52;0.12
191.2C;0.59;0.12
191.4A;0.26;0.05
191.4C;0.21;0.04
191.A3;0.1;0.02
191.A5;0.23;0.05
191.AA;0.36;0.07
191.AB;0.21;0.04
191.DZ;0.1;0.02
191.EA;0.33;0.07
191.F;0.39;0.08
193.12Z;0.58;0.13
193.13Z;0.43;0.09
193.3Z;0.07;0.01
193.5B;0.32;0.06
193.6Z;0.29;0.07
193.C;0.65;0.13
193.D;0.2;0.04
194.3A1;0.15;0.03
194.3B;0.28;0.06
194.3CZ;0.26;0.06
194.3D3;0.16;0.03
194.3D5;0.55;0.12
194.3F;0.49;0.1
194.4B;0.26;0.05
194.5A;0.47;0.11
194.5B;0.58;0.12
194.61Z;0.45;0.11
194.6A;0.3;0.06
194.6C;0.58;0.14
194.81A;0.66;0.16
194.82A;0.56;0.11
194.82B;0.17;0.03
194.A;0.22;0.04
194.C;0.25;0.05
194.EB;0.33;0.07
194.EC;0.45;0.1
194.F;0.17;0.03
194.G;0.62;0.16
195.1A;0.14;0.03
195.1B;0.73;0.17
195.2Z;0.57;0.13
195.4A3;0.42;0.08
195.4C;0.54;0.13
195.51Z;0.42;0.1
195.52A;0.43;0.09
195.52C;0.16;0.03
195.6AB;0.51;0.1
195.6C;0.5;0.1
195.6D;0.67;0.16
196.2A1;0.51;0.1
196.2A2A;0.51;0.1
196.2B;0.05;0.01
196.2C;0.56;0.11
196.2D;0.53;0.13
196.5A;0.66;0.15
196.5C;0.64;0.13
196.5D;0.33;0.08
196.63Z;0.33;0.07
196.A1Z;0.09;0.02
196.A4B;0.42;0.1
196.A51Z;0.63;0.17
196.A5A;0.61;0.12
196.A5B2Z;0.28;0.06
196.A5C;0.51;0.1
196.AAZ;0.14;0.03
196.AB1A;0.15;0.03
196.AB1B;0.53;0.11
196.AB1C;0.54;0.13
196.AB3Z;0.27;0.06
196.ABC;0.06;0.01
196.AC2AZ;0.3;0.06
196.AC3;0.03;0.01
196.AC5Z;0.13;0.03
196.AC7B1Z;0.18;0.04
196.AC7B5;0.12;0.02
196.AC8;0.58;0.12
196.AD23Z;0.23;0.05
196.AD24A;0.37;0.07
196.AD2Z;0.23;0.05
196.AD32Z;0.33;0.07
196.ADA;0.6;0.14
196.AE2;0.7;0.14
196.AE4Z;0.3;0.06
196.AE7;0.67;0.13
196.AFZ;0.33;0.07
196.BAAZ;0.35;0.08
196.BAB;0.16;0.03
196.BBZ;0.32;0.07
196.BC;0.27;0.05
196.CA0;0.15;0.04
196.CAA;0.88;0.26
196.CAB;0.23;0.05
196.CC1;0.63;0.13
196.CCA;0.64;0.13
196.CCB;0.23;0.05
196.DAA;0.51;0.1
196.DACZ;0.38;0.08
196.DAD;0.55;0.13
196.DBAZ;0.62;0.15
196.DBB;0.36;0.07
196.DCA0;0.21;0.04
196.DCAZ;0.68;0.19
196.DCB;0.57;0.11
196.DDAA;0.36;0.07
196.DDAC;0.52;0.12
196.DDB;0.28;0.06
196.DDD;0.45;0.11
196.DE2Z;0.31;0.07
196.DEZ;0.36;0.09
196.DF12B;0.61;0.14
196.DF13;0;0
196.DF1C;0.58;0.14
196.DF30;0.45;0.09
196.DF3Z;0.36;0.07
196.EAZ;0.3;0.06
196.F1;0.46;0.09
196.FZ;0.31;0.07
196.G2Z;0.49;0.12
196.G4Z;0.45;0.1
196.G5;0.07;0.01
196.G6A;0.59;0.12
196.G6B;0.25;0.05
196.H11;0.38;0.08
196.H1Z;0.69;0.19
197.1Z;0.28;0.06
197.4Z;0.07;0.01
197.533A;0.56;0.11
197.53Z;0.31;0.07
197.63Z;0.43;0.09
197.6Z;0.42;0.1
198.3A;0.67;0.15
198.41B;0.57;0.11
198.41C;0.23;0.05
198.42AZ;0.34;0.07
198.42B;0.68;0.17
198.52Z;0.34;0.07
198.5Z;0.07;0.01
198.6Z;0.13;0.03
199.2Z;0.21;0.05
200.1A;0.51;0.12
200.1B;0.54;0.11
200.3Z;0.51;0.12
200.5A;0.61;0.14
200.5C;0.56;0.13
200.5D;0.2;0.04
200.6A;0.6;0.12
200.6C;0.66;0.17
202.11Z;0.41;0.09
202.3Z;0.15;0.03
203.1AZ;0.52;0.12
203.1B;0.12;0.02
203.2D;0.14;0.03
203.3AA;0.35;0.07
203.41C;0.35;0.07
203.421Z;0.65;0.16
203.42Z;0.27;0.06
203.4Z;0.18;0.04
203.6Z;0.23;0.05
203.7Z;0.16;0.03
203.82Z;0.56;0.15
203.8A;0.46;0.09
203.8C;0.51;0.12
203.AZ;0.19;0.04
203.B;0.16;0.04
204.3A4;0.37;0.07
204.3B;0.15;0.03
204.4A;0.3;0.07
204.4B;0.49;0.1
204.5Z;0.27;0.05
204.8AA;0.2;0.04
204.8AB;0.55;0.13
204.8B;0.36;0.08
204.BZ;0.3;0.06
204.CA;0.41;0.09
204.D;0.45;0.09
204.F;0.61;0.12
204.H;0.64;0.15
205.2Z;0.24;0.05
205.A2Z;0.17;0.03
205.A8Z;0.47;0.11
205.B1AB3;0.63;0.16
205.B1BB;0.57;0.11
205.B1C;0.41;0.1
205.B3A4;0.18;0.04
205.B3B1;0.25;0.05
205.B3C32;0;0
205.B4Z;0.53;0.13
205.C1A;0.68;0.14
205.C1C;0.59;0.12
205.C2;0.11;0.02
205.CAA;0.13;0.03
205.CAB;0.57;0.13
205.CB1Z;0.68;0.18
205.CB3;0.24;0.05
205.CB5B;0.27;0.05
205.CB6;0.27;0.05
205.CB7;0.68;0.16
205.CC;0.19;0.04
205.D;0.1;0.02
205.E10;0.47;0.09
205.E1Z;0.88;0.29
205.F1;0.41;0.08
205.F5;0.4;0.09
205.G1;0.49;0.1
205.G30;0.36;0.07
205.G5;0.34;0.08
206.1AZ;0.44;0.11
206.1B;0.22;0.04
206.2Z;0.43;0.1
206.3Z;0.39;0.09
206.4Z;0.1;0.02
206.52B;0.66;0.15
206.611Z;0.43;0.09
206.6121Z;0.27;0.05
206.733Z;0.63;0.16
206.A1B;0.7;0.18
206.AAB;0.42;0.09
206.AB4;0.44;0.11
206.B1AB;0.59;0.16
206.B1C;0.55;0.11
206.B3B;0.47;0.1
206.B61;0.58;0.12
206.C2A;0.42;0.08
206.C2B;0.66;0.13
206.CB;0.42;0.08
206.CC;0.47;0.12
206.D;0.85;0.3
207.4Z;0.27;0.06
208.321Z;0.59;0.14
208.32Z;0.56;0.12
208.4B0;0.42;0.08
208.4BZ;0.1;0.02
208.4CZ;0.14;0.03
208.4D;0.27;0.06
208.5Z;0.33;0.07
208.AA31;0.22;0.04
208.AAB;0.12;0.02
208.AB;0.12;0.02
208.B21Z;0.26;0.06
208.B41Z;0.23;0.05
208.B4Z;0.38;0.08
208.B5Z;0.38;0.09
208.B6Z;0.14;0.03
208.B7Z;0.17;0.03
208.B8Z;0.16;0.03
208.BAZ;0.52;0.12
208.BBZ;0.61;0.16
208.BC;0.29;0.06
208.C1B;0.58;0.13
208.C2Z;0.39;0.09
208.CAZ;0.4;0.1
208.CB;0.09;0.02
208.DAZ;0.25;0.06
208.DB;0.11;0.02
208.DC;0.44;0.09
208.DD;0.75;0.21
208.E2Z;0.35;0.07
208.EAZ;0.33;0.08
208.EB;0.2;0.04
208.FAAZ;0.63;0.16
208.FAB;0.34;0.07
208.FB0;0.14;0.03
208.FBZ;0.31;0.07
208.FC1;0.54;0.11
208.FC3Z;0.28;0.06
208.FD;0.27;0.06
208.GA;0.46;0.11
208.GB;0.61;0.12
208.H;0.13;0.03
209.2Z;0.45;0.1
209.3AA0;0.09;0.02
209.3AAZ;0.8;0.25
209.3AB;0.6;0.13
209.3AD;0.42;0.08
209.3BZ;0.55;0.13
209.3C;0.12;0.02
209.41Z;0.32;0.06
209.4A0;0.28;0.06
209.4AB;0.24;0.05
209.4AC;0.64;0.13
209.4AD;0.23;0.05
209.4B3;0.19;0.04
209.4C;0.61;0.12
209.4D;0.24;0.05
209.5AB;0.7;0.19
209.5C;0.6;0.12
209.5D;0.61;0.14
209.6Z;0.75;0.22
209.8AA;0.17;0.03
209.8AB;0.42;0.08
209.8AC;0.41;0.09
209.8AD;0.69;0.17
209.8B;0.24;0.05
209.8C;0.55;0.13
209.AZ;0.73;0.2
209.BZ;0.7;0.18
209.C1;0.33;0.07
209.C2B;0.69;0.14
209.C3;0.67;0.16
209.D3;0.56;0.14
209.D4;0.25;0.05
210.32Z;0.17;0.03
210.3A;0.11;0.02
210.3B;0.8;0.22
210.42Z;0.31;0.06
210.4Z;0.13;0.03
210.6Z;0.54;0.12
210.AA;0.47;0.11
210.AB;0.8;0.25
210.AC;0.67;0.13
210.B1Z;0.29;0.07
210.BZ;0.54;0.14
210.D;0.62;0.15
211.1A;0.22;0.04
211.1B;0.53;0.11
211.31B;0.41;0.08
211.31C;0.58;0.14
211.32Z;0.6;0.16
211.33Z;0.59;0.14
211.34A;0.41;0.08
211.42Z;0.42;0.1
211.5Z;0.57;0.14
211.7B;0.44;0.09
211.7C;0.58;0.14
211.8AZ;0.51;0.12
211.8B;0.56;0.13
211.9Z;0.15;0.03
212.1A;0.7;0.19
212.1B;0.55;0.11
212.2A;0.28;0.06
212.2C;0.21;0.04
212.3Z;0.62;0.16
212.41A;0.12;0.02
212.41B;0.76;0.22
212.4A4;0.18;0.04
212.4CZ;0.6;0.14
212.4DA;0.33;0.07
212.4DC;0.84;0.27
212.4EZ;0.55;0.15
212.4FZ;0.7;0.19
212.4GB;0.41;0.08
212.4GC;0.86;0.29
212.4J;0.6;0.12
212.5A;0.54;0.11
212.5B;0.72;0.14
212.6AA;0.55;0.11
212.6AC;0.7;0.19
212.6CA0;0.33;0.07
212.6CAA;0.7;0.16
212.6CC;0.88;0.27
212.6D;0.33;0.07
212.7AZ;0.26;0.05
212.7B0;0.27;0.05
212.7BA;0.57;0.11
212.7BC;0.23;0.05
212.7C;0.9;0.31
212.8Z;0.39;0.09
212.AA1B;0.51;0.12
212.AAAAZ;0.6;0.15
212.AAAB;0.49;0.12
212.AABZ;0.18;0.04
212.AAC;0.7;0.19
212.ABAA;0.36;0.08
212.ABAB;0.69;0.14
212.ABBA;0.67;0.13
212.ABCB;0.65;0.13
212.ABD;0.39;0.08
212.AD;0.46;0.09
212.AE0;0.28;0.06
212.AEAZ;0.7;0.16
212.AEB;0.74;0.17
212.AED;0.5;0.1
212.AF3;0.47;0.09
212.AF5;0.62;0.12
212.AG2A;0.37;0.07
212.AG2B;0.59;0.12
212.AG2C;0.56;0.11
212.AJ;0.85;0.23
212.B1AZ;0.8;0.21
212.B1B0;0.24;0.05
212.B1BZ;0.9;0.31
212.B1C;0.58;0.12
212.B4A;0.54;0.11
212.B4D;0.81;0.21
212.B7;0.21;0.04
212.B8A;0.48;0.1
212.B8B;0.83;0.2
212.C2A;0.18;0.04
212.C2B;0.77;0.15
212.E1;0.08;0.02
212.E2Z;0.5;0.11
212.EAA;0.71;0.16
212.EAC;0.57;0.11
212.EAE;0.63;0.13
212.EAF;0.71;0.14
212.EAH;0.8;0.19
212.EAK;0.72;0.18
212.EB1Z;0.2;0.04
212.EB3B;0.59;0.12
212.EB5Z;0.73;0.19
212.EBA;0.47;0.09
212.EBC;0.71;0.14
212.EBD;0.18;0.04
212.ECAZ;0.1;0.02
212.ECB;0.45;0.11
212.ED1;0.44;0.09
212.ED2Z;0.56;0.13
212.EF;0.52;0.12
212.EG;0.22;0.04
212.F10;0.19;0.04
212.F1A;0.49;0.1
212.F3;0.1;0.02
212.FA1Z;0.71;0.19
212.FA2;0.5;0.1
212.FAA0;0.15;0.03
212.FAAAB;0.76;0.15
212.FAAB;0.66;0.18
212.FABZ;0.86;0.29
212.FAC;0.24;0.05
212.FBA;0.76;0.23
212.FBB;0.58;0.12
212.FBC;0.87;0.23
212.FBE;0.71;0.14
212.FDA;0.67;0.13
212.FE;0.43;0.1
212.G1Z;0.64;0.15
212.G20;0.33;0.07
212.G2Z;0.57;0.13
212.G3Z;0.22;0.04
212.G4AZ;0.69;0.19
212.G4BZ;0.45;0.11
212.G4D;0.57;0.11
212.G4F;0.76;0.2
212.G5Z;0.66;0.17
212.G6Z;0.76;0.19
212.G7Z;0.36;0.08
212.GAZ;0.25;0.05
212.GBA;0.24;0.05
212.GBB;0.53;0.11
212.GBC;0.45;0.1
212.GC1Z;0.85;0.27
212.GC2;0.11;0.02
212.GC3;0.36;0.07
212.GC4Z;0.42;0.09
212.GD2Z;0.54;0.13
212.GD41Z;0.29;0.06
212.GDAAZ;0.13;0.03
212.GDAB;0.53;0.11
212.GDAE;0.54;0.11
212.GDAF;0.89;0.3
212.GDB;0.43;0.09
212.GE1;0.14;0.03
212.GE21B;0.85;0.23
212.GE2Z;0.79;0.24
212.GE3;0.18;0.04
212.GE5;0.19;0.04
212.GFAA;0.23;0.05
212.GFAB;0.8;0.22
212.GFBA;0.46;0.09
212.GFC;0.63;0.17
212.GG1Z;0.29;0.07
212.GGB;0.72;0.14
212.GH2B;0.49;0.1
212.GH2D;0.71;0.16
212.GH3;0.53;0.13
212.GJ2A;0.78;0.21
212.H2A0;0.25;0.05
212.H2AB;0.68;0.14
212.H2AC;0.86;0.26
212.H2C0;0.42;0.08
212.H2CA;0.54;0.13
212.H2CB;0.65;0.13
212.H2D;0.64;0.15
212.H2F;0.74;0.21
212.HB;0.3;0.06
212.HC0;0.17;0.03
212.HCZ;0.79;0.24
212.HD1;0.24;0.06
212.HD2A;0.8;0.21
212.HD2C;0.9;0.29
212.HDA;0.66;0.16
212.HDB1Z;0.46;0.11
212.HDC;0.61;0.14
212.HDD;0.66;0.13
212.HE;0.18;0.04
212.HF1A;0.23;0.05
212.HF1B;0.78;0.16
212.HF5;0.17;0.03
212.HFA;0.91;0.24
212.HFB;0.31;0.06
212.HG0;0.44;0.1
212.HGA;0.75;0.15
212.HGCZ;0.91;0.31
212.HGD;0.88;0.28
212.HH;0.76;0.19
212.HK;0.42;0.1
212.J12Z;0.65;0.17
212.J1A;0.66;0.15
212.J2B;0.66;0.13
212.J2C;0.72;0.14
212.JA0;0.19;0.04
212.JB10;0.29;0.06
212.JB1Z;0.87;0.28
212.JC1;0.43;0.1
212.JC2Z;0.87;0.28
212.JC3;0.67;0.17
212.K21Z;0.86;0.27
212.K2A0;0.42;0.1
212.K2AZ;0.61;0.14
212.K3;0.09;0.02
212.K4Z;0.79;0.23
212.KA0;0.26;0.05
212.KAB;0.76;0.17
212.L2Z;0.72;0.19
212.L3;0.12;0.02
212.L4B;0.68;0.14
212.L5;0.51;0.12
212.L6Z;0.65;0.15
212.L71A;0.66;0.18
212.L71B;0.67;0.13
212.L72;0;0
212.LA;0.25;0.05
212.LB;0.67;0.13
212.M3;0.67;0.13
212.M5;0.38;0.08
213.1A;0.27;0.05
213.1C;0.68;0.18
213.2Z;0.69;0.18
213.3Z;0.72;0.2
213.41AB;0.51;0.1
213.41AC;0.4;0.08
213.41B;0.49;0.12
213.5A;0.42;0.09
213.5C;0.49;0.1
213.5E;0.8;0.26
213.6AZ;0.53;0.13
213.6B;0.45;0.1
213.6D;0.68;0.19
213.91A;0.6;0.12
213.91C;0.36;0.07
213.92Z;0.73;0.21
213.93A;0.56;0.11
213.93C;0.62;0.14
213.AAZ;0.52;0.13
213.AC1Z;0.42;0.1
213.AC2;0.54;0.11
213.AE;0.33;0.07
213.B1Z;0.69;0.18
213.B2A;0.57;0.11
213.B2C;0.59;0.14
213.B3Z;0.46;0.11
213.B4Z;0.34;0.07
213.B5A;0.25;0.05
213.B5B;0.54;0.13
213.B5C;0.7;0.21
213.BA0;0.34;0.07
213.BAA;0.63;0.14
213.BAC;0.56;0.14
213.C1Z;0.26;0.05
213.C2Z;0.79;0.23
213.CZ;0.56;0.15
213.D2Z;0.26;0.05
215.1A;0.58;0.15
215.3Z;0.56;0.13
216.3Z;0.68;0.19
216.5B;0.62;0.14
216.5D;0.48;0.12
217.1Z;0.61;0.16
217.4A;0.27;0.06
217.4BA;0.58;0.13
217.4BC;0.45;0.09
217.4C;0.49;0.12
217.4E;0.31;0.06
217.4G;0.57;0.14
218.2AZ;0.5;0.12
218.2BZ;0.41;0.08
218.2C;0.19;0.04
218.4Z;0.56;0.14
218.AAA;0.55;0.11
218.AAC;0.63;0.15
218.AC;0.51;0.12
218.D;0.65;0.17
220.1Z;0.85;0.29
220.5Z;0.53;0.13
220.62Z;0.74;0.2
220.63AA;0.45;0.1
220.63AB;0.56;0.11
220.63AC;0.68;0.19
220.63B;0.66;0.16
220.6A;0.46;0.09
220.6C;0.67;0.19
220.7Z;0.47;0.11
220.8A;0.25;0.05
220.8B3;0.46;0.11
220.8B7Z;0.53;0.11
220.8C;0.73;0.22
220.9Z;0.29;0.07
222.11Z;0.45;0.09
222.2A0;0.25;0.05
222.2AB;0.66;0.13
222.2AC2;0.61;0.12
222.2AC5;0.45;0.09
222.2B;0.19;0.04
222.3A;0.51;0.12
222.3B;0.59;0.12
222.3C;0.74;0.19
222.4AZ;0.45;0.11
222.4B;0.73;0.21
222.5AZ;0.28;0.06
222.5B;0.7;0.18
222.6Z;0.24;0.05
222.7D;0.51;0.1
222.7E;0.59;0.12
223.1B;0.83;0.2
223.A1Z;0.32;0.06
223.BZ;0.24;0.05
223.C1B;0.66;0.13
223.C3Z;0.56;0.13
223.DB;0.41;0.08
223.DD;0.12;0.02
223.EZ;0.66;0.18
223.FAB;0.62;0.12
223.FAC;0.57;0.13
223.FB;0.22;0.04
223.FC;0.56;0.11
223.FD;0.42;0.08
223.H1;0.13;0.03
223.H3;0.36;0.07
223.H7;0.38;0.08
223.H8A0;0.2;0.04
223.H8AZ;0.22;0.04
223.H8B;0.51;0.1
223.J;0.85;0.28
224.2AA;0.92;0.36
224.2B;0.12;0.02
224.B;0.29;0.06
224.CA0;0.41;0.1
224.CAZ;0.51;0.12
224.CB;0.44;0.09
